Protein,bait,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
A2M,TMEMV5,0.9815975227777658,4.1698036767648384e-11,0.018402477179554507,5.789256068876065,7.2365700861392535,8.68388410336632,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,3.0,0.03162277660168379
A2M,TMEMmyc,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,2.0,0.03162277660168379
A2ML1,TMEMV5,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
A2ML1,TMEMmyc,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
AAAS,TMEMmyc,1.0116101451593869e-07,2.0070297963671162e-13,0.9999998988377847,6.335755677368679,7.9196945967109125,9.503633516176231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,29.0,27.0,0.03162277660168379
AAAS,TMEMV5,4.823971223619186e-06,1.541655664649708e-12,0.9999951760262346,5.789256068911339,7.2365700861392535,8.683884103467774,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,22.0,23.0,0.03162277660168379
AACS,TMEMV5,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
AACS,TMEMmyc,0.9954274374145274,1.4431768765543875e-11,0.0045725625700453725,6.335755677320629,7.9196945967109125,9.503633516052895,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,0.0,0.03162277660168379
AAK1,TMEMmyc,0.0005043250956079625,9.22870896394241e-12,0.9994956748941638,6.335755677368735,7.9196945967109125,9.503633516106328,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,22.0,13.0,0.03162277660168379
AAK1,TMEMV5,0.034835019550115684,8.214449177729426e-11,0.9651649803667747,5.78925606891351,7.2365700861392535,8.683884103386946,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,17.0,6.0,0.03162277660168379
AAMDC,TMEMV5,0.9726479568524512,5.164732658517016e-11,0.02735204309492879,5.7892560688817,7.2365700861392535,8.683884103366017,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,3.0,0.03162277660168379
AAMDC,TMEMmyc,0.9772735689410703,3.459124232041723e-11,0.022726431023361054,6.335755677341014,7.9196945967109125,9.503633516052231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,3.0,0.03162277660168379
AAMP,TMEMmyc,0.927226276852219,6.41011433980274e-11,0.07277372308275228,6.335755677356315,7.9196945967109125,9.503633516050957,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,5.0,5.0,0.03162277660168379
AAMP,TMEMV5,0.9726479568524512,5.164732658517016e-11,0.02735204309492879,5.7892560688817,7.2365700861392535,8.683884103366017,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,3.0,0.03162277660168379
AAR2,TMEMmyc,0.00854752490902592,3.2802024965459133e-11,0.9914524750571806,6.335755677369333,7.9196945967109125,9.503633516082807,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,17.0,11.0,0.03162277660168379
AAR2,TMEMV5,0.29133993395450675,1.8009527873921048e-10,0.7086600658646892,5.789256068919965,7.2365700861392535,8.683884103366202,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,11.0,6.0,0.03162277660168379
AARS1,TMEMV5,3.264105135966395e-09,5.790646420720964e-14,0.9999999967348367,5.789256068911337,7.2365700861392535,8.683884103533323,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,39.0,24.0,0.03162277660168379
AARS1,TMEMmyc,2.2761225389044188e-07,2.8901225414543915e-13,0.999999772386457,6.335755677368679,7.9196945967109125,9.503633516169575,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,32.0,22.0,0.03162277660168379
AARS2,TMEMmyc,6.844954360368273e-11,7.53861275342771e-15,0.9999999999305429,6.335755677368679,7.9196945967109125,9.503633516236125,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,35.0,39.0,0.03162277660168379
AARS2,TMEMV5,1.4507133962802253e-09,4.021282243589565e-14,0.9999999985482464,5.789256068911337,7.2365700861392535,8.683884103540606,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,29.0,36.0,0.03162277660168379
AARSD1,TMEMmyc,0.01276672541180415,3.919492018025142e-11,0.9872332745480135,6.335755677369592,7.9196945967109125,9.503633516079395,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,14.0,13.0,0.03162277660168379
AARSD1,TMEMV5,0.07510829531610355,1.1335228195843922e-10,0.9248917045696192,5.789256068915203,7.2365700861392535,8.683884103379384,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,12.0,9.0,0.03162277660168379
AASDH,TMEMV5,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,0.0,0.03162277660168379
AASDH,TMEMmyc,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
AASDHPPT,TMEMV5,0.0001236184192643072,6.628049701505311e-12,0.9998763815731078,5.789256068911354,7.2365700861392535,8.683884103438634,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,20.0,17.0,0.03162277660168379
AASDHPPT,TMEMmyc,0.0057146319255852686,2.7413125595805894e-11,0.9942853680460073,6.335755677369145,7.9196945967109125,9.5036335160862,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,16.0,13.0,0.03162277660168379
AASS,TMEMV5,1.6524532034122597e-08,1.2007484260538593e-13,0.9999999834743478,5.789256068911337,7.2365700861392535,8.683884103518757,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,34.0,25.0,0.03162277660168379
AASS,TMEMmyc,7.68190941666061e-07,4.994129052261379e-13,0.9999992318075589,6.335755677368679,7.9196945967109125,9.503633516159594,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,26.0,25.0,0.03162277660168379
AATF,TMEMV5,0.9404924686576229,7.803106158919648e-11,0.05950753126340539,5.7892560688929535,7.2365700861392535,8.68388410336512,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,2.0,0.03162277660168379
AATF,TMEMmyc,0.9847333941340946,2.7884230201029288e-11,0.015266605837036375,6.335755677335889,7.9196945967109125,9.50363351605248,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,2.0,0.03162277660168379
ABCA3,TMEMV5,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,2.0,0.03162277660168379
