rank,Protein,Bait,rep1,rep2,pi1,pi2,pi3,gamma3,gamma3_avg,FDR
1,ABCD3,TMEMV5,83.0,76.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ABCD3,TMEMmyc,89.0,86.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ACACA,TMEMV5,95.0,54.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ACACA,TMEMmyc,100.0,74.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ACLY,TMEMV5,143.0,99.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ACLY,TMEMmyc,159.0,127.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ACTC1,TMEMV5,101.0,103.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ACTC1,TMEMmyc,99.0,91.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ACTG1,TMEMV5,195.0,200.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ACTG1,TMEMmyc,243.0,220.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,AKAP9,TMEMV5,92.0,74.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,AKAP9,TMEMmyc,125.0,100.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ALDH18A1,TMEMV5,108.0,93.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ALDH18A1,TMEMmyc,103.0,94.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,AMOT,TMEMV5,93.0,53.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,AMOT,TMEMmyc,129.0,79.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ARF1,TMEMV5,101.0,81.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ARF1,TMEMmyc,100.0,80.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ATAD3A,TMEMV5,92.0,133.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ATAD3A,TMEMmyc,143.0,139.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
1,ATAD3B,TMEMV5,89.0,123.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,1.0,1.0,0.0
1,ATAD3B,TMEMmyc,124.0,120.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.0,1.0,0.0
