"HMOX2"
"LPGAT1"
"RPS27L"
"GPAT4"
"GGCX"
"NDC1"
"AMFR"
"FADS1"
"FYN"
"TRABD"
"NOP9"
"TFB2M"
"PEX3"
"NRDE2"
"JAK1"
"AUP1"
"NAT14"
"DDX11L8"
"SFXN4"
"CLPTM1L"
"GPR89A"
"SDCBP"
"ATM"
"ARFGEF2"
"COQ8B"
"NOP14"
"ABCB8"
"MAP3K4"
"DMXL2"
"MTX1"
"GLB1"
"DERL1"
"TMEM115"
"SPG7"
"SLC35B2"
"METTL15"
"EXOC8"
"OXA1L"
"RPS27"
"USP34"
"LCLAT1"
"APOOL"
"DDX11"
"RDH13"
"TAOK2"
"DMXL1"
"SLC35E1"
"TECR"
"ZC3H4"
"COG8"
"FASTKD5"
"UBE4A"
"PRORP"
"DUSP9"
"NOL8"
"DCP1B"
"TMEM214"
"RBM20"
"DECR2"
"SPTLC2"
"ATAD1"
"UBAC2"
"ALG1"
"ATG2A"
"ABCD3"
"NLRX1"
"MTG1"
"DOT1L"
"GCAT"
"TTK"
"RFT1"
"TMEM209"
"THADA"
"MTR"
"CCDC22"
"PSMB1"
"JMJD1C"
"RAF1"
"ILVBL"
"SNRNP70"
"DCXR"
"VARS2"
"PDXDC1"
"ATP6V0A1"
"CDK5RAP1"
"ACSL3"
"STK39"
"IGHMBP2"
"COPS6"
"EHD3"
"SEC61A2"
"SMPD4"
"ORC3"
"RPS2"
"ALG5"
"LPCAT1"
"SQLE"
"VPS4B"
"DIAPH3"
"PHF6"
"PCCB"
"ACSL1"
"ZBTB21"
"TMTC3"
"CDC45"
"INTS8"
"GNL3L"
"COQ8A"
"TIMELESS"
"ATP6V0A2"
"ITPR3"
"VPS4A"
"NOC3L"
"CHD6"
"MRPS25"
"TAF9"
"DENND4A"
"MPV17"
"COG4"
"TAF6L"
"ARL8A"
"RBM15B"
"NUMB"
"PRR12"
"FLAD1"
"NOC2L"
"TRMT2A"
"DMD"
"EHD1"
"PDS5A"
"GLUD1"
"UTP20"
"ANKRD11"
"OPA1"
"AFG3L2"
"MRPS10"
"PEAK1"
"HSDL1"
"RTN4"
"KMT2A"
"ARL8B"
"DHRS7B"
"RPS15A"
"TMCO1"
"TOMM22"
"GLE1"
"GPRASP2"
"SCD"
"EARS2"
"HELLS"
"ZMYM3"
"TBL1X"
"PCK2"
"VPS50"
"DAP3"
"PTCD1"
"CALCOCO2"
"GTPBP6"
"RPUSD3"
"PISD"
"RFC3"
"TRAPPC3"
"TRIP4"
"EHD4"
"CLN6"
"SCYL1"
"SENP1"
"CTU2"
"INTS2"
"PKN3"
"ECT2"
"TNPO2"
"PIP5K1A"
"PIPSL"
"DDX51"
"RPS12"
"TANC2"
"DNAAF5"
"HSD17B12"
"UBE4B"
"STRIP1"
"MCM3AP"
"GSTK1"
"DCUN1D5"
"NAV1"
"CFL2"
"MORF4L1"
"ACAA2"
"STOM"
"HACD3"
"C1QBP"
"PPP2R1B"
"PDLIM5"
"NSD1"
"BICRA"
"ILK"
"EXOC1"
"TNRC6A"
"TSC2"
"CLPP"
"ZC3HC1"
"HDAC3"
"NDUFS7"
"GPATCH8"
"SARS2"
"MCRS1"
"DHCR7"
"CLNS1A"
"POM121C"
"ZNF148"
"RELCH"
"FAM120A"
"PDS5B"
"KIAA1671"
"STT3B"
"KIF18B"
"MED16"
"RPS9"
"LEMD3"
"AMBRA1"
"FEN1"
"ARHGEF12"
"MED4"
"DDX54"
"TNPO1"
"NOL9"
"CHD3"
"RPS26"
"TUBGCP2"
"ABRAXAS2"
"PNO1"
"BRCA2"
"TEX10"
"WASHC2A"
"ERBIN"
"TELO2"
"SLC4A2"
"PHF8"
"SMG6"
"RREB1"
"GRPEL1"
"AHCTF1"
"CDK13"
"MYBBP1A"
"RAPGEF6"
"MED12"
"MRPS34"
"PRRC2B"
"HDAC1"
"COG3"
"MCM10"
"PATJ"
"AP3D1"
"TASOR"
"WASHC2C"
"PLEKHA5"
"GTPBP4"
"GRSF1"
"RPS3A"
"SUDS3"
"MRPS7"
"SRPRA"
"HUWE1"
"POM121"
"POLR2C"
"NTPCR"
"RPS5"
"RPRD2"
"CHD8"
"GEMIN5"
"EMSY"
"DSG2"
